"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @HoundsInPounds: NY/NJ: We need your help! One of the best dogs we have had is getting overlooked.❤️🐶She is medium sized.  Can live happ…",FALSE,0,NA,2021-09-22 13:44:47,FALSE,NA,"1440673432564236291",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","YarosisNancy",12,TRUE,FALSE,NA,NA
"RT @HoundsInPounds: NY/NJ: We need your help! One of the best dogs we have had is getting overlooked.❤️🐶She is medium sized.  Can live happ…",FALSE,0,NA,2021-09-22 13:40:52,FALSE,NA,"1440672447485808640",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MoroskyKatie",12,TRUE,FALSE,NA,NA
"RT @mcmuffin786: I don't get why y'all hate big corps like McD and KFC in Pakistan they are probably the handful of businesses that treat t…",FALSE,0,NA,2021-09-22 10:10:03,FALSE,NA,"1440619392417493006",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DThucydides",2,TRUE,FALSE,NA,NA
"What is the best environment for terrorists to mushroom? In an economically depressed country! By taking away AGOA… https://t.co/UrigyQ6yeu",FALSE,0,NA,2021-09-22 09:23:42,TRUE,NA,"1440607728498479104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AbduselamGetah7",0,FALSE,FALSE,NA,NA
"RT @AMKanta_IIHMHyd: The Multi-cultural Environment at IIHM facilitates learning and motivation.

Join one of the best Hotel Management Sch…",FALSE,0,NA,2021-09-22 09:05:06,FALSE,NA,"1440603046728253445",NA,"<a href=""https://hospitalitytrader.com/"" rel=""nofollow"">HospitalityTrader Bot</a>","BizNewsJobs",1,TRUE,FALSE,NA,NA
"The Multi-cultural Environment at IIHM facilitates learning and motivation.

Join one of the best Hotel Management… https://t.co/sICj5Tfkhk",FALSE,0,NA,2021-09-22 09:02:26,TRUE,NA,"1440602378894381056",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","AMKanta_IIHMHyd",1,FALSE,FALSE,NA,NA
"#RT @IIHMHOTELSCHOOL: The Multi-cultural Environment at IIHM facilitates learning and motivation.

Join one of the… https://t.co/HUIJ0RrvRw",FALSE,0,NA,2021-09-22 08:49:29,TRUE,NA,"1440599116539564032",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","iihmpavankalyan",0,FALSE,FALSE,NA,NA
"I don't get why y'all hate big corps like McD and KFC in Pakistan they are probably the handful of businesses that… https://t.co/11DPnUrobs",FALSE,12,NA,2021-09-22 08:46:09,TRUE,NA,"1440598278173708297",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mcmuffin786",2,FALSE,FALSE,NA,NA
"IIHMHOTELSCHOOL: The Multi-cultural Environment at IIHM facilitates learning and motivation.

Join one of the best… https://t.co/yMyf6RGxOf",FALSE,1,NA,2021-09-22 08:25:48,TRUE,NA,"1440593156186071043",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","IIHMBangalore",0,FALSE,FALSE,NA,NA
"The Multi-cultural Environment at IIHM facilitates learning and motivation.

Join one of the best Hotel Management… https://t.co/UYiiAJUSaF",FALSE,2,NA,2021-09-22 08:22:48,TRUE,NA,"1440592404189356032",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IIHMHOTELSCHOOL",0,FALSE,FALSE,NA,NA
"RT @mimieyo: What are you actively doing to bring peace in your environment, community and your country.
It’s best to always operate from a…",FALSE,0,NA,2021-09-22 07:54:10,FALSE,NA,"1440585195850137608",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","PChimodo",2,TRUE,FALSE,NA,NA
"@DScullivan Highly doubt it!!  I mean let's get it straight, you're in one of the best towns, on the best state, in… https://t.co/dcZa3m1ngr",FALSE,0,"DScullivan",2021-09-22 05:06:10,TRUE,"1440540686168641536","1440542920109481993","1433275538131415043","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dufflecoatboy",0,FALSE,FALSE,NA,NA
"NZ just can't stop wringing as much look as we can out of the environment to stay in the 1st World Club - we need t… https://t.co/iOj4K0kCbL",FALSE,0,NA,2021-09-22 02:18:48,TRUE,NA,"1440500801001046023",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kowekaweka",0,FALSE,FALSE,NA,NA
